Date,Close,Volume
"Feb 13, 2012","1,351.77","509,390,609"
"Feb 10, 2012","1,342.64","563,291,630"
"Feb 9, 2012","1,351.95","607,917,970"
"Feb 8, 2012","1,349.96","595,613,858"
"Feb 7, 2012","1,347.05","535,133,187"
"Feb 6, 2012","1,344.33","531,777,345"
"Feb 3, 2012","1,344.90","665,334,625"
"Feb 2, 2012","1,325.54","584,223,678"
"Feb 1, 2012","1,324.09","672,663,549"
"Jan 31, 2012","1,312.41","797,230,530"
"Jan 30, 2012","1,313.01","577,400,499"
"Jan 27, 2012","1,316.33","676,624,808"
"Jan 26, 2012","1,318.43","701,746,291"
"Jan 25, 2012","1,326.06","686,713,041"
"Jan 24, 2012","1,314.65","584,740,700"
"Jan 23, 2012","1,316.00","583,433,166"
"Jan 20, 2012","1,315.38","878,320,204"
"Jan 19, 2012","1,314.50","663,577,739"
"Jan 18, 2012","1,308.04","675,850,271"
"Jan 17, 2012","1,293.67","641,969,084"
"Jan 13, 2012","1,289.09",0
"Jan 12, 2012","1,295.50","580,177,676"
"Jan 11, 2012","1,292.48","568,741,622"
"Jan 10, 2012","1,292.08","653,259,111"
"Jan 9, 2012","1,280.70","582,309,850"
"Jan 6, 2012","1,277.81","586,007,516"
"Jan 5, 2012","1,281.06","661,073,567"
"Jan 4, 2012","1,277.30","613,302,433"
"Jan 3, 2012","1,277.06","662,715,756"
"Dec 30, 2011","1,257.60","422,083,445"
"Dec 29, 2011","1,263.02","375,206,293"
"Dec 28, 2011","1,249.64","388,379,153"
"Dec 27, 2011","1,265.43","347,088,222"
"Dec 23, 2011","1,265.33",0
"Dec 22, 2011","1,254.00","615,073,106"
"Dec 21, 2011","1,243.72","715,569,979"
"Dec 20, 2011","1,241.30","741,105,751"
"Dec 19, 2011","1,205.35","569,817,637"
"Dec 16, 2011","1,219.66","1,403,591,924"
"Dec 15, 2011","1,215.75","648,747,609"
"Dec 14, 2011","1,211.82","698,587,206"
"Dec 13, 2011","1,225.73","735,543,315"
"Dec 12, 2011","1,236.47","610,944,177"
"Dec 9, 2011","1,255.19","607,239,967"
"Dec 8, 2011","1,234.35","710,781,395"
"Dec 7, 2011","1,261.01","717,576,123"
"Dec 6, 2011","1,258.47","595,394,701"
"Dec 5, 2011","1,257.08","681,306,682"
"Dec 2, 2011","1,244.28","664,845,278"
"Dec 1, 2011","1,244.58","616,267,764"
"Nov 30, 2011","1,246.96","1,172,115,724"
"Nov 29, 2011","1,195.19","647,616,312"
